Text Index,Regular_JTC_Score,LEAP_JTC_Score,Regular_Jaccard_Score,LEAP_Jaccard_Score,Regular_chrF,LEAP_chrF
1,0.7058823529411764,0.9411764705882353,0.8212806026365348,1.0,1.4312977099236641,2.994011976047904
2,0.8541666666666666,0.9166666666666666,0.7629442521912653,0.7419449504148957,1.6,0.7898894154818327
3,0.6140350877192983,0.9122807017543859,0.8914257126521278,0.9540229885057471,1.3297872340425534,2.202643171806167
4,0.5555555555555556,0.9444444444444444,0.6611258125280803,0.09636363636363637,1.221498371335505,1.7523364485981308
5,0.5714285714285714,0.9047619047619048,0.734918665563827,0.3859020310633214,1.4354066985645932,2.0576131687242794
6,0.8253968253968254,0.9047619047619048,0.8654970760233919,0.29833922497165344,1.4895729890764646,2.717391304347826
7,0.5,1.0,0.7281010536398468,0.4829931972789116,1.4851485148514851,2.2388059701492535
8,0.5964912280701755,0.9473684210526316,0.7180469289164941,1.0,1.3181019332161688,2.688172043010753
9,0.6296296296296297,1.0,0.841411183649087,1.0,1.4064697609001406,2.512562814070352
10,0.85,1.0,0.8872404092529879,0.382716049382716,1.5082956259426845,1.0964912280701753
11,0.6,0.9333333333333333,0.7865761689291101,1.0,1.3297872340425534,2.9239766081871346
12,0.33333333333333337,1.0,0.5031775868242033,1.0,2.0215633423180597,1.65016501650165
13,0.26190476190476186,0.9761904761904762,0.6554321409584567,0.4166666666666667,1.697792869269949,1.5723270440251573
14,0.4285714285714286,1.0,0.7508774244623302,1.0,1.6816143497757845,1.4684287812041117
15,0.5098039215686274,1.0,0.9352689793866266,1.0,1.4471780028943562,0.9433962264150944
16,0.7083333333333333,1.0,0.7444041137326073,1.0,1.582278481012658,1.773049645390071
17,0.4722222222222222,0.6111111111111112,0.8363583731364886,0.8404522065236351,1.9230769230769231,1.8203883495145627
18,0.7708333333333334,1.0,0.6821594818862579,1.0,1.6778523489932882,1.488095238095238
19,0.7222222222222222,0.9814814814814815,0.5946910630449364,0.7854864433811803,1.2106537530266344,1.2096774193548385
20,0.537037037037037,1.0,0.8197278911564626,1.0,1.4450867052023122,1.4124293785310735
21,0.47916666666666663,0.8541666666666666,0.7851851851851852,0.5833333333333334,1.5772870662460567,1.4025245441795233
22,0.7843137254901961,1.0,0.8187134502923975,1.0,1.387604070305273,1.6025641025641029
23,0.6458333333333333,0.9791666666666666,0.7872023809523809,0.956989247311828,1.5948963317384368,1.3089005235602091
24,0.5111111111111111,1.0,0.6460439736799871,1.0,1.6103059581320454,1.0729613733905579
25,0.803921568627451,0.9607843137254902,0.8217138707334786,0.8093476384264399,1.6750418760469015,0.8431703204047218
26,0.6166666666666667,1.0,0.8194623027469317,0.4609929078014184,1.3698630136986303,2.521008403361345
27,0.3571428571428571,1.0,0.5957351290684624,0.5069725596041386,2.205882352941176,2.941176470588235
28,0.5384615384615384,0.717948717948718,0.6147300005273427,0.38095238095238093,1.6629711751662972,2.5706940874035986
29,0.45238095238095233,0.6190476190476191,0.7922008547008548,0.09680384974502622,1.8292682926829267,1.6420361247947453
30,0.5740740740740741,0.9444444444444444,0.7742252715837621,1.0,1.687289088863892,1.6666666666666663
31,0.5882352941176471,0.7647058823529411,0.8809150326797385,0.7968821502597647,2.086230876216968,1.290322580645161
32,0.5490196078431373,0.9607843137254902,0.8469232827924116,0.9420289855072465,2.0215633423180597,3.289473684210527
33,0.47916666666666663,1.0,0.7723171889838557,0.3913043478260869,1.6528925619834711,1.2406947890818858
34,0.543859649122807,1.0,0.6652372828784119,0.18962962962962962,1.5313935681470137,1.1547344110854503
35,0.6666666666666667,0.9215686274509804,0.8048921696338108,0.477124183006536,1.7761989342806392,1.9305019305019304
36,0.5263157894736843,0.8947368421052632,0.7520895226777581,1.0,1.6260162601626014,1.5723270440251573
37,0.45238095238095233,0.9285714285714286,0.7119527228013246,0.6233885579278456,1.4245014245014245,1.644736842105263
38,0.6041666666666667,0.9375,0.7033232266132209,1.0,1.46484375,1.7825311942959006
39,0.6888888888888889,0.9555555555555556,0.5620511707704097,0.3798449612403101,1.4285714285714284,1.7123287671232879
40,0.7333333333333334,0.7333333333333334,0.9166666666666666,0.5353535353535354,1.8315018315018312,1.5527950310559007
41,0.6222222222222222,1.3111111111111111,0.8138047138047138,0.42063492063492064,1.824817518248175,1.3831258644536653
42,0.6666666666666667,0.9,0.8550665383998717,0.38666666666666666,1.4880952380952381,1.4025245441795233
43,0.7380952380952381,1.0714285714285714,0.7636363636363637,0.5712962962962963,1.5923566878980893,0.6640106241699867
44,0.6666666666666667,0.9375,0.7741269329319644,0.8849189893664287,1.7605633802816902,1.6750418760469015
45,0.7254901960784313,1.4117647058823528,0.7806603773584905,0.6451402478799739,1.8203883495145627,1.2345679012345678
46,0.41666666666666663,0.6666666666666667,0.7045601291364002,0.49444444444444446,1.3464991023339317,1.513622603430878
47,0.7291666666666667,1.0,0.8146551724137931,0.8541666666666666,1.5267175572519085,1.091703056768559
48,0.6111111111111112,1.1111111111111112,0.7752136752136751,0.9382716049382717,1.5174506828528074,0.7575757575757576
49,0.6274509803921569,0.9803921568627451,0.8242477201944837,0.45,1.4144271570014144,1.1904761904761902
50,0.6842105263157895,1.0,0.7711864406779662,1.0,0.6915629322268326,1.050420168067227
51,0.696969696969697,0.8484848484848485,0.7108287961282517,0.15703661983583134,1.6666666666666667,1.5479876160990713
52,0.7058823529411764,1.5294117647058822,0.9636363636363635,0.35580524344569286,1.455604075691412,0.7256894049346879
53,0.5238095238095238,0.8571428571428572,0.8799762329174093,0.935483870967742,2.7675276752767526,3.1055900621118013
